whobub |Hubbub. [Obs.] Beau. & Fl.
with |See Withe.\n\nWith denotes or expresses some situation or relation of nearness, proximity, association, connection, or the like. It is used especially: -- 1. To denote a close or direct relation of opposition or hostility; - - equivalent to against. Thy servant will . . . fight with this Philistine. 1 Sam. xvii. 32. Note: In this sense, common in Old English, it is now obsolete except in a few compounds; as, withhold; withstand; and after the verbs fight, contend, struggle, and the like. 2. To denote association in respect of situation or environment; hence, among; in the company of. I will buy with you, talk with you, walk with you, and so following; but I will not eat with you, drink with you, nor pray with you. Shak. Pity your own, or pity our estate, Nor twist our fortunes with your sinking fate. Dryden. See where on earth the flowery glories lie; With her they flourished, and with her they die. Pope. There is no living with thee nor without thee. Tatler. Such arguments had invincible force with those pagan philosophers. Addison. 3. To denote a connection of friendship, support, alliance, assistance, countenance, etc.; hence, on the side of. Fear not, for I am with thee, and will bless thee. Gen. xxvi. 24. 4. To denote the accomplishment of cause, means, instrument, etc; -- sometimes equivalent to by. That with these fowls I be all to-rent. Chaucer. Thou wilt be like a lover presently, And tire the hearer with a book of words. Shak. [He] entertained a coffeehouse with the following narrative. Addison. With receiving your friends within and amusing them without, you lead a good, pleasant, bustling life of it. Goldsmith. 5. To denote association in thought, as for comparison or contrast. Can blazing carbuncles with her compare. Sandys. 6. To denote simultaneous happening, or immediate succession or consequence. With that she told me . . . that she would hide no truth from me. Sir P. Sidney. With her they flourished, and with her they die. Pope. With this he pointed to his face. Dryden. 7. To denote having as a possession or an appendage; as, the firmament with its stars; a bride with a large fortune. \"A maid with clean hands.\" Shak. Note: With and by are closely allied in many of their uses, and it is not easy to lay down a rule by which to distinguish their uses. See the Note under By.
withal |1. With this; with that. [Obs.] He will scarce be pleased withal. Shak. 2. Together with this; likewise; at the same time; in addition; also. [Archaic] Fy on possession But if a man be virtuous withal. Chaucer. If you choose that, then I am yours withal. Shak. How modest in exception, and withal How terrible in constant resolution. Shak.\n\nWith; -- put after its object, at the end of sentence or clause in which it stands. [Obs.] This diamond he greets your wife withal. Shak. Whatsoever uncleanness it be that a man shall be defiled withal. Lev. v. 3.
withamite |A variety of epidote, of a reddish color, found in Scotland.
withdraw |1. To take back or away, as what has been bestowed or enjoyed; to draw back; to cause to move away or retire; as, to withdraw aid, favor, capital, or the like. Impossible it is that God should withdraw his presence from anything. Hooker. 2. To take back; to recall or retract; as, to withdraw false charges.\n\nTo retire; to retreat; to quit a company or place; to go away; as, he withdrew from the company. \"When the sea withdrew.\" King Horn. Syn. -- To recede; retrograde; go back.
withdrawal |The act of withdrawing; withdrawment; retreat; retraction. Fielding.
withdrawer |One who withdraws; one who takes back, or retracts.
withdrawing-room |A room for retirement from another room, as from a dining room; a drawing-room. A door in the middle leading to a parlor and withdrawing-room. Sir W. Scott.
withdrawment |The act of withdrawing; withdrawal. W. Belsham.
withe |1. A flexible, slender twig or branch used as a band; a willow or osier twig; a withy. 2. A band consisting of a twig twisted. 3. (Naut.)  An iron attachment on one end of a mast or boom, with a ring, through which another mast or boom is rigged out and secured; a wythe. R. H. Dana, Jr. 4. (Arch.)  A partition between flues in a chimney.\n\nTo bind or fasten with withes. You shall see him withed, and haltered, and staked, and baited to death. Bp. Hall.
withe-rod |A North American shrub (Viburnum nudum) whose tough osierlike shoots are sometimes used for binding sheaves.
wither |1. To fade; to lose freshness; to become sapless; to become sapless; to dry or shrivel up. Shall he hot pull up the roots thereof, and cut off the fruit thereof, that it wither Ezek. xvii. 9. 2. To lose or want animal moisture; to waste; to pin This is man, old, wrinkled, faded, withered. Shak. There was a man which had his hand withered. Matt. xii. 10. Now warm in love, now with'ring in the grave. Dryden. 3. To lose vigor or power; to languish; to pass away. \"Names that must not wither.\" Byron. States thrive or wither as moons wax and wane. Cowper.\n\n1. To cause to fade, and become dry. The sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth. James i. 11. 2. To cause to shrink, wrinkle, or decay, for want of animal moisture. \"Age can not wither her.\" Shak. Shot forth pernicious fire Among the accursed, that withered all their strength. Milton. 3. To cause to languish, perish, or pass away; to blight; as, a reputation withered by calumny. The passions and the cares that wither life. Bryant.
wither-wrung |Injured or hurt in the withers, as a horse.
witherband |A piece of iron in a saddle near a horse's withers, to strengthen the bow.
withered |Faded; dried up; shriveled; wilted; wasted; wasted away. -- With\"ered*ness, n. Bp. Hall.
withering |Tending to wither; causing to shrink or fade. -- With\"er*ing*ly, adv.
witherite |Barium carbonate occurring in white or gray six-sided twin crystals, and also in columnar or granular masses.
witherling |A withered person; one who is decrepit. [Obs.] Chapman.
withernam |A second or reciprocal distress of other goods in lieu of goods which were taken by a first distress and have been eloigned; a taking by way of reprisal; -- chiefly used in the expression capias in withernam, which is the name of a writ used in connection with the action of replevin (sometimes called a writ of reprisal), which issues to a defendant in replevin when he has obtained judgment for a return of the chattels replevied, and fails to obtain them on the writ of return. Blackstone.
withers |The ridge between the shoulder bones of a horse, at the base of the neck. See Illust. of Horse. Let the galled jade wince; our withers are unwrung. Shak.
withhold |1. To hold back; to restrain; to keep from action. Withhold, O sovereign prince, your hasty hand From knitting league with him. Spenser. 2. To retain; to keep back; not to grant; as, to withhold assent to a proposition. Forbid who will, none shall from me withhold Longer thy offered good. Milton. 3. To keep; to maintain; to retain. [Obs.] To withhold it the more easily in heart. Chaucer.
withholder |One who withholds.
withholdment |The act of withholding.
within |1. In the inner or interior part of; inside of; not without; as, within doors. O, unhappy youth! Come not within these doors; within this roof The enemy of all your graces lives. Shak. Till this be cured by religion, it is as impossible for a man to be happy -- that is, pleased and contented within himself -- as it is for a sick man to be at ease. Tillotson. 2. In the limits or compass of; not further in length than; as, within five miles; not longer in time than; as, within an hour; not exceeding in quantity; as, expenses kept within one's income. \"That he repair should again within a little while.\" Chaucer. Within these five hours lived Lord Hastings, Untainted, unexamined, free, at liberty. Shak. 3. Hence, inside the limits, reach, or influence of; not going outside of; not beyond, overstepping, exceeding, or the like. Both he and she are still within my power. Dryden. Within himself The danger lies, yet lies within his power. Milton. Were every action concluded within itself, and drew no consequence after it, we should, undoubtedly, never err in our choice of good. Locke.\n\n1. In the inner part; inwardly; internally. \"The wound festers within.\" Carew. Ills from within thy reason must prevent. Dryden. 2. In the house; in doors; as, the master is within.
withinforth |Within; inside; inwardly. [Obs.] Wyclif. [It is much greater] labor for to withinforth call into mind, without sight of the eye withoutforth upon images, what he before knew and thought upon. Bp. Peacock.
withinside |In the inner parts; inside. [Obs.] Graves.
without |1. On or at the outside of; out of; not within; as, without doors. Without the gate Some drive the cars, and some the coursers rein. Dryden. 2. Out of the limits of; out of reach of; beyond. Eternity, before the world and after, is without our reach. T. Burnet. 3. Not with; otherwise than with; in absence of, separation from, or destitution of; not with use or employment of; independently of; exclusively of; with omission; as, without labor; without damage. I wolde it do withouten negligence. Chaucer. Wise men will do it without a law. Bacon. Without the separation of the two monarchies, the most advantageous terms . . . must end in our destruction. Addison. There is no living with thee nor without thee. Tatler. To do without. See under Do. -- Without day Etym: [a translation of L. sine die], without the appointment of a day to appear or assemble again; finally; as, the Fortieth Congress then adjourned without day. -- Without recourse. See under Recourse.\n\nUnless; except; -- introducing a clause. You will never live to my age without you keep yourselves in breath with exercise, and in heart with joyfulness. Sir P. Sidney. Note: Now rarely used by good writers or speakers.\n\n1. On or art the outside; not on the inside; not within; outwardly; externally. Without were fightings, within were fears. 2 Cor. vii. 5. 2. Outside of the house; out of doors. The people came unto the house without. Chaucer.
without-door |Outdoor; exterior. [Obs.] \"Her without-door form.\" Shak.
withouten |Without. [Obs.] Chaucer.
withoutforth |Without; outside' outwardly. Cf. Withinforth. [Obs.] Chaucer.
withsay |To contradict; to gainsay; to deny; to renounce. [Obs.] Gower. If that he his Christendom withsay. Chaucer.
withset |To set against; to oppose. [Obs.] \"Their way he them withset.\" R. of Brunne.
withstand |To stand against; to oppose; to resist, either with physical or moral force; as, to withstand an attack of troops; to withstand eloquence or arguments. Piers Plowman. I withstood him to the face. Gal. ii. 11. Some village Hampden, that, with dauntless breast. The little tyrant of his fields withstood. Gray.
withstander |One who withstands, or opposes; an opponent; a resisting power.
withstood |oWithstand.
withvine |Quitch grass.
withwind |A kind of bindweed (Convolvulus arvensis). He bare a burden ybound with a broad list, In a withewyndes wise ybounden about. Piers Plowman.
withwine |Same as Withvine.
withy |1. (Bot.)  The osier willow (Salix viminalis). See Osier, n. (a). 2. A withe. See Withe, 1.\n\nMade of withes; like a withe; flexible and tough; also, abounding in withes. The stream is brimful now, and lies high in this little withy plantation. G. Eliot.
witing |Knowledge. [Obs.] \"Withouten witing of any other wight.\" Chaucer.
witless |Destitute of wit or understanding; wanting thought; hence, indiscreet; not under the guidance of judgment. \"Witless bravery.\" Shak. A witty mother! witless else her son. Shak. Witless pity breedeth fruitless love. Fairfax. -- Wit\"less*ly, adv. -- Wit\"less*ness, n.
witling |A person who has little wit or understanding; a pretender to wit or smartness. A beau and witing perished in the forming. Pope. Ye newspaper witlings! ye pert scribbling folks! Goldsmith.
witness |1. Attestation of a fact or an event; testimony. May we with . . . the witness of a good conscience, pursue him with any further revenge Shak. If I bear witness of myself, my witness is not true. John v. 31. 2. That which furnishes evidence or proof. Laban said to Jacob, . . . This heap be witness, and this pillar be witness. Gen. xxxi. 51, 52. 3. One who is cognizant; a person who beholds, or otherwise has personal knowledge of, anything; as, an eyewitness; an earwitness. \"Thyself art witness I am betrothed.\" Shak. Upon my looking round, I was witness to appearances which filled me with melancholy and regret. R. Hall. 4. (Law) (a) One who testifies in a cause, or gives evidence before a judicial tribunal; as, the witness in court agreed in all essential facts. (b) One who sees the execution of an instrument, and subscribes it for the purpose of confirming its authenticity by his testimony; one who witnesses a will, a deed, a marriage, or the like. Privileged witnesses. (Law) See under Privileged. -- With a witness, effectually; to a great degree; with great force, so as to leave some mark as a testimony. [Colloq.] This, I confess, is haste with a witness. South.\n\n1. To see or know by personal presence; to have direct cognizance of. This is but a faint sketch of the incalculable calamities and horrors we must expect, should we ever witness the triumphs of modern infidelity. R. Hall. General Washington did not live to witness the restoration of peace. Marshall. 2. To give testimony to; to testify to; to attest. Behold how many things they witness against thee. Mark xv. 4. 3. (Law)  To see the execution of, as an instrument, and subscribe it for the purpose of establishing its authenticity; as, to witness a bond or a deed.\n\nTo bear testimony; to give evidence; to testify. Chaucer. The men of Belial witnessed against him. 1 Kings xxi. 13. The witnessing of the truth was then so generally attended with this event [martyrdom] that martyrdom now signifies not only to witness, but to witness to death. South.
witnesser |One who witness.
witted |Having (such) a wit or understanding; as, a quick-witted boy.
witticaster |A witling. [R.] Milton.
witticism |A witty saying; a sentence or phrase which is affectedly witty; an attempt at wit; a conceit. Milton. He is full of conceptions, points of epigram, and witticisms; all which are below the dignity of heroic verse. Addison.
wittified |Possessed of wit; witty. [R.] R. North.
wittily |In a witty manner; wisely; ingeniously; artfully; with it; with a delicate turn or phrase, or with an ingenious association of ideas. Who his own harm so wittily contrives. Dryden.
wittiness |The quality of being witty.
wittingly |Knowingly; with knowledge; by design.
wittol |1. (Zoöl.)  The wheatear. [Prov. Eng.] 2. A man who knows his wife's infidelity and submits to it; a tame cuckold; -- so called because the cuckoo lays its eggs in the wittol's nest. [Obs.] Shak.
wittolly |Like a wittol; cuckoldly. [Obs.] Shak.
witts |Tin ore freed from earthy matter by stamping. Knight.
witty |1. Possessed of wit; knowing; wise; skillful; judicious; clever; cunning. [Obs.] \"The deep-revolving witty Buckingham.\" Shak. 2. Especially, possessing wit or humor; good at repartee; droll; facetious; sometimes, sarcastic; as, a witty remark, poem, and the like. \"Honeycomb, who was so unmercifully witty upon the women.\" Addison. Syn. -- Acute; smart; sharp; arch; keen; facetious; amusing; humorous; satirical; ironical; taunting.
witwal |(a) The golden oriole. (b) The greater spotted woodpecker. [Prov. Eng.]
witwall |(a) The golden oriole. (b) The greater spotted woodpecker. [Prov. Eng.]
witworm |One who, or that which, feeds on or destroys wit. [Obs.] B. Jonson.
wive |To marry, as a man; to take a wife. Wherefore we pray you hastily to wive. Chaucer.\n\n1. To match to a wife; to provide with a wife. \"An I could get me but a wife . . . I were manned, horsed, and wived.\" Shak. 2. To take for a wife; to marry. I have wived his sister. Sir W. Scott.
wivehood |Wifehood. [Obs.] Spenser.
wiveless |Wifeless. [Obs.] Homilies.
wively |Wifely. [Obs.] Udall.
wiver |1. (Her.)  A fabulous two-legged, winged creature, like a cockatrice, but having the head of a dragon, and without spurs. [Written also wyvern.] The jargon of heraldry, its griffins, its mold warps, its wiverns, and its dragons. Sir W. Scott. 2. (Zoöl.)  The weever.
wivern |1. (Her.)  A fabulous two-legged, winged creature, like a cockatrice, but having the head of a dragon, and without spurs. [Written also wyvern.] The jargon of heraldry, its griffins, its mold warps, its wiverns, and its dragons. Sir W. Scott. 2. (Zoöl.)  The weever.
wives |, pl of Wife.
wizard |1. A wise man; a sage. [Obs.] See how from far upon the eastern road The star-led wizards [Magi] haste with odors sweet! Milton. 2. One devoted to the black art; a magician; a conjurer; a sorcerer; an enchanter. The wily wizard must be caught. Dryden.\n\n1. Enchanting; charming. Collins. 2. Haunted by wizards. Where Deva spreads her wizard stream. Milton.
wizardly |Resembling or becoming a wizard; wizardlike; weird.
wizardry |The character or practices o \"He acquired a reputation bordering on wizardry.\" J. A. Symonds.
wizen |To wither; to dry. [Prov. Eng. & Scot.]\n\nWizened; thin; weazen; withered. A little lonely, wizen, strangely clad boy. Dickens.\n\nThe weasand. [Prov. Eng. & Scot.]
wizen-faced |Having a shriveled, thin, withered face.
wizened |Dried; shriveled; withered; shrunken; weazen; as, a wizened old man.
wlatsome |Loathsome; disgusting; hateful. [Obs.] Murder is . . . wlatsom and abhominable to God. Chaucer.
wo |See Woe. [Obs.] Chaucer.
woad |1. (Bot.)  An herbaceous cruciferous plant (Isatis tinctoria). It was formerly cultivated for the blue coloring matter derived from its leaves. 2. A blue dyestuff, or coloring matter, consisting of the powdered and fermented leaves of the Isatis tinctoria. It is now superseded by indigo, but is somewhat used with indigo as a ferment in dyeing. Their bodies . . . painted with woad in sundry figures. Milton. Wild woad (Bot.), the weld (Reseda luteola). See Weld. -- Woad mill, a mill grinding and preparing woad.
woad-waxen |A leguminous plant (Genista tinctoria) of Europe and Russian Asia, and adventitious in America; -- called also greenwood, greenweed, dyer's greenweed, and whin, wood-wash, wood-wax, and wood- waxen.
woaded |Colored or stained with woad. \"Man tattoed or woaded, winter- clad in skins.\" Tennyson.
woald |See Weld.
wobble |See Wabble.
wode |Mad. See Wood, a. [Obs. or Prov. Eng.] Chaucer.\n\nWood. Chaucer.
wodegeld |A geld, or payment, for wood. Burrill.
woden |A deity corresponding to Odin, the supreme deity of the Scandinavians. Wednesday is named for him. See Odin.
woe |1. Grief; sorrow; misery; heavy calamity. Thus saying, from her side the fatal key, Sad instrument of all our woe, she took. Milton. [They] weep each other's woe. Pope. 2. A curse; a malediction. Can there be a woe or curse in all the stores of vengeance equal to the malignity of such a practice South. Note: Woe is used in denunciation, and in exclamations of sorrow. \" Woe is me! for I am undone.\" Isa. vi. 5. O! woe were us alive [i.e., in life]. Chaucer. Woe unto him that striveth with his Maker! Isa. xlv. 9. Woe worth, Woe be to. See Worth, v. i. Woe worth the chase, woe worth the day, That costs thy life, my gallant gray! Sir W. Scott.\n\nWoeful; sorrowful. [Obs.] His clerk was woe to do that deed. Robert of Brunne. Woe was this knight and sorrowfully he sighed. Chaucer. And looking up he waxed wondrous woe. Spenser.
woe-begone |Beset or overwhelmed with woe; immersed in grief or sorrow; woeful. Chaucer. So woe-begone was he with pains of love. Fairfax.
woeful |1. Full of woe; sorrowful; distressed with grief or calamity; afflicted; wretched; unhappy; sad. How many woeful widows left to bow To sad disgrace! Daniel. 2. Bringing calamity, distress, or affliction; as, a woeful event; woeful want. O woeful day! O day of woe! Philips. 3. Wretched; paltry; miserable; poor. What woeful stuff this madrigal would be! Pope.
woefully |In a woeful manner; sorrowfully; mournfully; miserably; dolefully.
woefulness |The quality or state of being woeful; misery; wretchedness.
woesome |Woeful. [Obs.] Langhorne.
woful |1. Full of woe; sorrowful; distressed with grief or calamity; afflicted; wretched; unhappy; sad. How many woeful widows left to bow To sad disgrace! Daniel. 2. Bringing calamity, distress, or affliction; as, a woeful event; woeful want. O woeful day! O day of woe! Philips. 3. Wretched; paltry; miserable; poor. What woeful stuff this madrigal would be! Pope.
wofully |In a woeful manner; sorrowfully; mournfully; miserably; dolefully.
wofulness |The quality or state of being woeful; misery; wretchedness.
woke |Wake.
wol |See 2d Will. [Obs.] Chaucer.
wold |1. A wood; a forest. 2. A plain, or low hill; a country without wood, whether hilly or not. And from his further bank Ætolia's wolds espied. Byron. The wind that beats the mountain, blows More softly round the open wold. Tennyson.\n\nSee Weld.
wolde |imp. of Will. See Would.
wolf |1. (Zoöl.)  Any one of several species of wild and savage carnivores belonging to the genus Canis and closely allied to the common dog. The best-known and most destructive species are the European wolf (Canis lupus), the American gray, or timber, wolf (C. occidentalis), and the prairie wolf, or coyote. Wolves often hunt in packs, and may thus attack large animals and even man. 2. (Zoöl.)  One of the destructive, and usually hairy, larvæ of several species of beetles and grain moths; as, the bee wolf. 3. Fig.: Any very ravenous, rapacious, or destructive person or thing; especially, want; starvation; as, they toiled hard to keep the wolf from the door. 4. A white worm, or maggot, which infests granaries. 5. An eating ulcer or sore. Cf. Lupus. [Obs.] If God should send a cancer upon thy face, or a wolf into thy side. Jer. Taylor. 6. (Mus.) (a) The harsh, howling sound of some of the chords on an organ or piano tuned by unequal temperament. (b) In bowed instruments, a harshness due to defective vibration in certain notes of the scale. 7. (Textile Manuf.)  A willying machine. Knight. Black wolf. (Zoöl.) (a) A black variety of the European wolf which is common in the Pyrenees. (b) A black variety of the American gray wolf. -- Golden wolf (Zoöl.), the Thibetan wolf (Canis laniger); -- called also chanco. -- Indian wolf (Zoöl.), an Asiatic wolf (Canis pallipes) which somewhat resembles a jackal. Called also landgak. -- Prairie wolf (Zoöl.), the coyote. -- Sea wolf. (Zoöl.) See in the Vocabulary. -- Strand wolf (Zoöl.) the striped hyena. -- Tasmanian wolf (Zoöl.), the zebra wolf. -- Tiger wolf (Zoöl.), the spotted hyena. -- To keep the wolf from the door, to keep away poverty; to prevent starvation. See Wolf, 3, above. Tennyson. -- Wolf dog. (Zoöl.) (a) The mastiff, or shepherd dog, of the Pyrenees, supposed by some authors to be one of the ancestors of the St. Bernard dog. (b) The Irish greyhound, supposed to have been used formerly by the Danes for chasing wolves. (c) A dog bred between a dog and a wolf, as the Eskimo dog. -- Wolf eel (Zoöl.), a wolf fish. -- Wolf fish (Zoöl.), any one of several species of large, voracious marine fishes of the genus Anarrhichas, especially the common species (A. lupus) of Europe and North America. These fishes have large teeth and powerful jaws. Called also catfish, sea cat, sea wolf, stone biter, and swinefish. -- Wolf net, a kind of net used in fishing, which takes great numbers of fish. -- Wolf's peach (Bot.), the tomato, or love apple (Lycopersicum esculentum). -- Wolf spider (Zoöl.), any one of numerous species of running ground spiders belonging to the genus Lycosa, or family Lycosidæ. These spiders run about rapidly in search of their prey. Most of them are plain brown or blackish in color. See Illust. in App. -- Zebra wolf (Zoöl.), a savage carnivorous marsupial (Thylacinus cynocephalus) native of Tasmania; -- called also Tasmanian wolf.
wolfberry |An American shrub (Symphoricarpus occidentalis) which bears soft white berries.
wolffian |Discovered, or first described, by Caspar Friedrich Wolff (1733-1794), the founder of modern embryology. Wolffian body, the mesonephros. -- Wolffian duct, the duct from the Wolffian body.
wolfhound |Originally, a large hound used in hunting wolves; now, any one of certain breeds of large dogs, some of which are nearly identical with the great Danes.
wolfish |Like a wolf; having the qualities or form of a wolf; as, a wolfish visage; wolfish designs. -- Wolf\"ish*ly, adv. -- Wolf\"ish*ness, n.
wolfkin |A little or young wolf. Tennyson.
wolfling |A young wolf. Carlyle.
wolfram |Same as Wolframite.
wolfram steel |Same as Tungsten steel.
wolframate |A salt of wolframic acid; a tungstate.
wolframic |Of or pertaining to wolframium. See Tungstic.
wolframite |Tungstate of iron and manganese, generally of a brownish or grayish black color, submetallic luster, and high specific gravity. It occurs in cleavable masses, and also crystallized. Called also wolfram.
wolframium |The technical name of the element tungsten. See Tungsten.
wolfsbane |A poisonous plant (Aconitum Lycoctonum), a kind of monkshood; also, by extension, any plant or species of the genus Aconitum. See Aconite. WOLF'S-CLAW Wolf's\"-claw`, n. (Bot.)  A kind of club moss. See Lycopodium. WOLF'S-FOOT Wolf's\"-foot`, n. (Bot.)  Club moss. See Lycopodium. WOLF'S-MILK Wolf's\"-milk`, n. (Bot.)  Any kind of spurge (Euphorbia); -- so called from its acrid milky juice.
woll |See 2d Will. [Obs.]
wollastonite |A silicate of lime of a white to gray, red, or yellow color, occurring generally in cleavable masses, rarely in tabular crystals; tabular spar. WOLLASTON'S DOUBLET Wol\"las*ton's dou\"blet. [After W. H. Wollaston, English physicist.] (Optics)  A magnifying glass consisting of two plano-convex lenses. It is designed to correct spherical aberration and chromatic dispersion.
wolle |Wool. [Obs.] Chaucer.
wolverene |1. (Zoöl.)  The glutton. 2. A nickname for an inhabitant of Michigan. [U. S.]
wolverene state |Michigan; -- a nickname.
wolverine |1. (Zoöl.)  The glutton. 2. A nickname for an inhabitant of Michigan. [U. S.]
wolves |pl. of Wolf.
wolvish |Wolfish. Shak.
woman |1. An adult female person; a grown-up female person, as distinguished from a man or a child; sometimes, any female person. Women are soft, mild pitiful, and flexible. Shak. And the rib, which the Lord God had taken from man, made he a woman. Gen. ii. 22. I have observed among all nations that the women ornament themselves more than the men; that, wherever found, they are the same kind, civil, obliging, humane, tender beings, inclined to be gay and cheerful, timorous and modest. J. Ledyard. 2. The female part of the human race; womankind. Man is destined to be a prey to woman. Thackeray. 3. A female attendant or servant. \" By her woman I sent your message.\" Shak. Woman hater, one who hates women; one who has an aversion to the female sex; a misogynist. Swift.\n\n1. To act the part of a woman in; -- with indefinite it. Daniel. 2. To make effeminate or womanish. [R.] Shak. 3. To furnish with, or unite to, a woman. [R.] \"To have him see me woman'd.\" Shak.
womanhead |Womanhood. [Obs.] Chaucer.
womanhede |Womanhood. [Obs.] Chaucer.
womanhood |1. The state of being a woman; the distinguishing character or qualities of a woman, or of womankind. Unspotted faith, and comely womanhood. Spenser. Perhaps the smile and the tender tone Came out of her pitying womanhood. Tennyson. 2. Women, collectively; womankind.
womanish |Suitable to a woman, having the qualities of a woman; effeminate; not becoming a man; -- usually in a reproachful sense. See the Note under Effeminate. \" Thy tears are womanish.\" Shak. \" Womanish entreaties.\" Macaulay. A voice not soft, weak, piping, and womanish, but audible, strong, and manlike. Ascham. -- Wom\"an*ish*ly, adv. -- Wom\"an*ish*ness, n.
womanize |To make like a woman; to make effeminate. [Obs.] V. Knox.
womankind |The females of the human race; women, collectively. A sanctuary into which womankind, with her tools of magic, the broom and mop, has very infrequent access. Hawthorne.
womanless |Without a woman or women.
womanlike |Like a woman; womanly. Womanlike, taking revenge too deep. Tennyson.
womanliness |The quality or state of being womanly. There is nothing wherein their womanliness is more honestly garnished than with silence. Udall.
womanly |Becoming a woman; feminine; as, womanly behavior. Arbuthnot. A blushing, womanly discovering grace. Donne.\n\nIn the manner of a woman; with the grace, tenderness, or affection of a woman. Gascoigne. WOMAN'S CHRISTIAN TEMPERANCE UNION Woman's Christian Temperance Union.  An association of women formed in the United States in 1874, for the advancement of temperance by organizing preventive, educational, evangelistic, social, and legal work.
womb |1. The belly; the abdomen. [Obs.] Chaucer. And he coveted to fill his woman of the cods that the hogs eat, and no man gave him. Wyclif (Luke xv. 16). An I had but a belly of any indifferency, I were simply the most active fellow in Europe. My womb, my womb, my womb undoes me. Shak. 2. (Anat.)  The uterus. See Uterus. 3. The place where anything is generated or produced. The womb of earth the genial seed receives. Dryden. 4. Any cavity containing and enveloping anything. The center spike of gold Which burns deep in the bluebell's womb. R. Browning.\n\nTo inclose in a womb, or as in a womb; to breed or hold in secret. [Obs.] Shak.
wombat |Any one of three species of Australian burrowing marsupials of the genus Phascolomys, especially the common species (P. ursinus). They are nocturnal in their habits, and feed mostly on roots.
womby |Capacious. [Obs.] Shak.
women |pl. of Woman.
won |imp. & p. p. of Win.\n\nTo dwell or abide. [Obs. or Scot.] \" Where he wans in forest wild.\" Milton. This land where I have woned thus long. Spenser.\n\nDwelling; wone. [Obs.] Spenser.
wonder |1. That emotion which is excited by novelty, or the presentation to the sight or mind of something new, unusual, strange, great, extraordinary, or not well understood; surprise; astonishment; admiration; amazement. They were filled with wonder and amazement at that which had happened unto him. Acts iii. 10. Wonder is the effect of novelty upon ignorance. Johnson. Note: Wonder expresses less than astonishment, and much less than amazement. It differs from admiration, as now used, in not being necessarily accompanied with love, esteem, or approbation. 2. A cause of wonder; that which excites surprise; a strange thing; a prodigy; a miracle. \" Babylon, the wonder of all tongues.\" Milton. To try things oft, and never to give over, doth wonders. Bacon. I am as a wonder unto many. Ps. lxxi. 7. Seven wonders of the world. See in the Dictionary of Noted Names in Fiction.\n\n1. To be affected with surprise or admiration; to be struck with astonishment; to be amazed; to marvel. I could not sufficiently wonder at the intrepidity of these diminutive mortals. Swift. We cease to wonder at what we understand. Johnson. 2. To feel doubt and curiosity; to wait with uncertain expectation; to query in the mind; as, he wondered why they came. I wonder, in my soul, What you would ask me, that I should deny. Shak.\n\nWonderful. [Obs.] Gower. After that he said a wonder thing. Chaucer.\n\nWonderfully. [Obs.] Chaucer.
wonder-worker |One who performs wonders, or miracles.
wonder-working |Doing wonders or surprising things.
wondered |Having performed wonders; able to perform wonderful things. [Obs.] Shak.
wonderer |One who wonders.
wonderful |Adapted to excite wonder or admiration; surprising; strange; astonishing. Syn. -- Marvelous; amazing. See Marvelous. -- Won\"der*ful*ly, adv. -- Won\"der*ful*ness, n.
wonderingly |In a wondering manner.
wonderland |A land full of wonders, or marvels. M. Arnold.
wonderly |Wonderfully; wondrously. [Obs.] Chaucer.
wonderment |Surprise; astonishment; a wonderful appearance; a wonder. Bacon. All the common sights they view, Their wonderment engage. Sir W. Scott.
wonderous |Same as Wondrous.
wonders |See Wondrous. [Obs.] They be wonders glad thereof. Sir T. More.
wonderstruck |Struck with wonder, admiration, or surprise. Dryden.
wonderwork |A wonderful work or act; a prodigy; a miracle. Such as in strange land He found in wonderworks of God and Nature's hand. Byron.
wondrous |In a wonderful or surprising manner or degree; wonderfully. For sylphs, yet mindful of their ancient race, Are, as when women, wondrous fond of place. Pope. And now there came both mist and snow, And it grew wondrous cold. Coleridge.\n\nWonderful; astonishing; admirable; marvelous; such as excite surprise and astonishment; strange. That I may . . . tell of all thy wondrous works. Ps. xxvi. 7. -- Won\"drous*ly, adv. -- Won\"drous*ness, n. Chloe complains, and wondrously's aggrieved. Granville.
wone |To dwell; to abide. [Obs.] Piers Plowman. Their habitation in which they woned. Chaucer.\n\n1. Dwelling; habitation; abode. [Obs.] Chaucer. 2. Custom; habit; wont; use; usage. [Obs.] To liven in delight was all his wone. Chaucer.
wong |A field. [Obs.] Spelman. \"Woods and wonges.\" Havelok the Dane.
wonger |See Wanger. [Obs.] Chaucer.
woning |Dwelling. [Obs.] Chaucer. WON'T Won't.  A colloquial contraction of woll not. Will not. See Will. Note: Often pronounced wûnt in New England.
wont |Using or doing customarily; accustomed; habituated; used. \"As he was wont to go.\" Chaucer. If the ox were wont to push with his horn. Ex. xxi. 29.\n\nCustom; habit; use; usage. They are . . . to be called out to their military motions, under sky or covert, according to the season, as was the Roman wont. Milton. From childly wont and ancient use. Cowper.\n\nTo be accustomed or habituated; to be used. A yearly solemn feast she wont to make. Spenser.\n\nTo accustom; -- used reflexively.
wonted |Accustomed; customary; usual. Again his wonted weapon proved. Spenser. Like an old piece of furniture left alone in its wonted corner. Sir W. Scott. She was wonted to the place, and would not remove. L'Estrange.
wontedness |The quality or state of being accustomed. [R.] Eikon Basilike.
