shewer |One who shews. See Shower.
siesta |A short sleep taken about the middle of the day, or after dinner; a midday nap.
sieur |Sir; -- a title of respect used by the French.
sieva |A small variety of the Lima bean (Phaseolus lunatus).
sieve |1. A utensil for separating the finer and coarser parts of a pulverized or granulated substance from each other. It consist of a vessel, usually shallow, with the bottom perforated, or made of hair, wire, or the like, woven in meshes. \"In a sieve thrown and sifted.\" Chaucer. 2. A kind of coarse basket. Simmonds. Sieve cells (Bot.), cribriform cells. See under Cribriform.
sifac |The white indris of Madagascar. It is regarded by the natives as sacred.
sifflement |The act of whistling or hissing; a whistling sound; sibilation. [Obs.] A. Brewer.
sifilet |The six-shafted bird of paradise. See Paradise bird, under Paradise.
sift |1. To separate with a sieve, as the fine part of a substance from the coarse; as, to sift meal or flour; to sift powder; to sift sand or lime. 2. To separate or part as if with a sieve. When yellow sands are sifted from below, The glittering billows give a golden show. Dryden. 3. To examine critically or minutely; to scrutinize. Sifting the very utmost sentence and syllable. Hooker. Opportunity I here have had To try thee, sift thee. Milton. Let him but narrowly sift his ideas. I. Taylor. To sift out, to search out with care, as if by sifting.
sifter |1. One who, or that which, sifts. 2. (Zoöl.)  Any lamellirostral bird, as a duck or goose; -- so called because it sifts or strains its food from the water and mud by means of the lamell
sig |Urine. [Prov. Eng.]
sigaultian |Pertaining to Sigault, a French physician. See Symphyseotomy.
sigger |Same as Sicker. [Prov. Eng.]
sigh |1. To inhale a larger quantity of air than usual, and immediately expel it; to make a deep single audible respiration, especially as the result or involuntary expression of fatigue, exhaustion, grief, sorrow, or the like. 2. Hence, to lament; to grieve. He sighed deeply in his spirit. Mark viii. 12. 3. To make a sound like sighing. And the coming wind did roar more loud, And the sails did sigh like sedge. Coleridge. The winter winds are wearily sighing. Tennyson. Note: An extraordinary pronunciation of this word as sith is still heard in England and among the illiterate in the United States.\n\n1. To exhale (the breath) in sighs. Never man sighed truer breath. Shak. 2. To utter sighs over; to lament or mourn over. Ages to come, and men unborn, Shall bless her name, and sigh her fate. Pior. 3. To express by sighs; to utter in or with sighs. They . . . sighed forth proverbs. Shak. The gentle swain . . . sighs back her grief. Hoole.\n\n1. A deep and prolonged audible inspiration or respiration of air, as when fatigued or grieved; the act of sighing. I could drive the boat with my sighs. Shak. 2. Figuratively, a manifestation of grief; a lan With their sighs the air Frequenting, sent from hearts contrite. Milton.
sigh-born |Sorrowful; mournful. [R.] \"Sigh-born thoughts.\" De Quincey.
sigher |One who sighs.
sighing |Uttering sighs; grieving; lamenting. \"Sighing millions.\" Cowper. -- Sigh\"ing*ly, adv.
sight |1. The act of seeing; perception of objects by the eye; view; as, to gain sight of land. A cloud received him out of their sight. Acts. i. 9. 2. The power of seeing; the faculty of vision, or of perceiving objects by the instrumentality of the eyes. Thy sight is young, And thou shalt read when mine begin to dazzle. Shak. O loss of sight, of thee I most complain! Milton. 3. The state of admitting unobstructed vision; visibility; open view; region which the eye at one time surveys; space through which the power of vision extends; as, an object within sight. 4. A spectacle; a view; a show; something worth seeing. Moses said, I will now turn aside and see this great sight, why the bush is not burnt. Ex. iii. 3. They never saw a sight so fair. Spenser. 5. The instrument of seeing; the eye. Why cloud they not their sights Shak. 6. Inspection; examination; as, a letter intended for the sight of only one person. 7. Mental view; opinion; judgment; as, in their sight it was harmless. Wake. That which is highly esteemed among men is abomination in the sight of God. Luke xvi. 15. 8. A small aperture through which objects are to be seen, and by which their direction is settled or ascertained; as, the sight of a quadrant. Thier eyes of fire sparking through sights of steel. Shak. 9. A small piece of metal, fixed or movable, on the breech, muzzle, center, or trunnion of a gun, or on the breech and the muzzle of a rifle, pistol, etc., by means of which the eye is guided in aiming. Farrow. 10. In a drawing, picture, etc., that part of the surface, as of paper or canvas, which is within the frame or the border or margin. In a frame or the like, the open space, the opening. 11. A great number, quantity, or sum; as, a sight of money. [Now colloquial] Note: Sight in this last sense was formerly employed in the best usage. \"A sight of lawyers.\" Latimer. A wonder sight of flowers. Gower. At sight, as soon as seen, or presented to sight; as, a draft payable at sight: to read Greek at sight; to shoot a person at sight. -- Front sight (Firearms), the sight nearest the muzzle. -- Open sight. (Firearms) (a) A front sight through which the objects aimed at may be seen, in distinction from one that hides the object. (b) A rear sight having an open notch instead of an aperture. -- Peep sight, Rear sight. See under Peep, and Rear. -- Sight draft, an order, or bill of exchange, directing the payment of money at sight. -- To take sight, to take aim; to look for the purpose of directing a piece of artillery, or the like. Syn. -- Vision; view; show; spectacle; representation; exhibition.\n\n1. To get sight of; to see; as, to sight land; to sight a wreck. Kane. 2. To look at through a sight; to see accurately; as, to sight an object, as a star. 3. To apply sights to; to adjust the sights of; also, to give the proper elevation and direction to by means of a sight; as, to sight a rifle or a cannon.\n\nTo take aim by a sight.
sight-hole |A hole for looking through; a peephole. \"Stop all sight-holes.\" Shak.
sight-seeing |Engaged in, or given to, seeing sights; eager for novelties or curiosities.\n\nThe act of seeing sights; eagerness for novelties or curiosities.
sight-seer |One given to seeing sights or noted things, or eager for novelties or curiosities.
sight-shot |Distance to which the sight can reach or be thrown. [R.] Cowley.
sighted |Having sight, or seeing, in a particular manner; -- used in composition; as, long-sighted, short-sighted, quick-sighted, sharp- sighted, and the like.
sightful |Easily or clearly seen; distinctly visible; perspicuous. [Obs.] Testament of Love.
sightfulness |The state of being sightful; perspicuity. [Obs.] Sir P. Sidney.
sighting |from Sight, v. t. Sighting shot, a shot made to ascertain whether the sights of a firearm are properly adjusted; a trial shot.
sightless |1. Wanting sight; without sight; blind. Of all who blindly creep or sightless soar. Pope. 2. That can not be seen; invisible. [Obs.] The sightless couriers of the air. Shak. 3. Offensive or unpleasing to the eye; unsightly; as, sightless stains. [R.] Shak. -- Sight\"less*ly, adv.- Sight\"less*ness, n.
sightliness |The state of being sightly; comeliness; conspicuousness.
sightly |1. Pleasing to the sight; comely. \"Many brave, sightly horses.\" L'Estrange. 2. Open to sight; conspicuous; as, a house stands in a sightly place.
sightproof |Undiscoverable to sight. Hidden in their own sightproof bush. Lowell.
sightsman |One who reads or performs music readily at first sight. [R.] Busby.
sigil |A seal; a signature. Dryden. Of talismans and sigils knew the power. Pope.
sigillaria |Little images or figures of earthenware exposed for sale, or given as presents, on the last two days of the Saturnalia; hence, the last two, or the sixth and seventh, days of the Saturnalia.\n\nA genus of fossil trees principally found in the coal formation; -- so named from the seallike leaf scars in vertical rows on the surface.
sigillarid |One of an extinct family of cryptagamous trees, including the genus Sigillaria and its allies.
sigillated |Decorated by means of stamps; -- said of pottery.
