stirless |Without stirring; very quiet; motionless. \"Lying helpless and stirless.\" Hare.
stringiness |Quality of being stringy.
stringless |Having no strings. His tongue is now a stringless instrument. Shak.
stringpiece |(a) A long piece of timber, forming a margin or edge of any piece of construction; esp.: (b) One of the longitudinal pieces, supporting the treads and rises of a flight or run of stairs.
stringy |1. Consisting of strings, or small threads; fibrous; filamentous; as, a stringy root. 2. Capable of being drawn into a string, as a glutinous substance; ropy; viscid; gluely. Stringy bark (Bot.), a name given in Australia to several trees of the genus Eucalyptus (as E. amygdalina, obliqua, capitellata, macrorhyncha, piperita, pilularis, and tetradonta), which have a fibrous bark used by the aborigines for making cordage and cloth.
strip |1. To deprive; to bereave; to make destitute; to plunder; especially, to deprive of a covering; to skin; to peel; as, to strip a man of his possession, his rights, his privileges, his reputation; to strip one of his clothes; to strip a beast of his skin; to strip a tree of its bark. And strippen her out of her rude array. Chaucer. They stripped Joseph out of his coat. Gen. xxxvii. 23. Opinions which . . . no clergyman could have avowed without imminent risk of being stripped of his gown. Macaulay. 2. To divest of clothing; to uncover. Before the folk herself strippeth she. Chaucer. Strip your sword stark naked. Shak. 3. (Naut.)  To dismantle; as, to strip a ship of rigging, spars, etc. 4. (Agric.)  To pare off the surface of, as land, in strips. 5. To deprive of all milk; to milk dry; to draw the last milk from; hence, to milk with a peculiar movement of the hand on the teats at the last of a milking; as, to strip a cow. 6. To pass; to get clear of; to outstrip. [Obs.] When first they stripped the Malean promontory. Chapman. Before he reached it he was out of breath, And then the other stripped him. Beau. & Fl. 7. To pull or tear off, as a covering; to remove; to wrest away; as, to strip the skin from a beast; to strip the bark from a tree; to strip the clothes from a man's back; to strip away all disguisses. To strip bad habits from a corrupted heart, is stripping off the skin. Gilpin. 8. (Mach.) (a) To tear off (the thread) from a bolt or nut; as, the thread is stripped. (b) To tear off the thread from (a bolt or nut); as, the bolt is stripped. 9. To remove the metal coating from (a plated article), as by acids or electrolytic action. 10. (Carding)  To remove fiber, flock, or lint from; -- said of the teeth of a card when it becomes partly clogged. 11. To pick the cured leaves from the stalks of (tobacco) and tie them into \"hands\"; to remove the midrib from (tobacco leaves).\n\n1. To take off, or become divested of, clothes or covering; to undress. 2. (Mach.)  To fail in the thread; to lose the thread, as a bolt, screw, or nut. See Strip, v. t., 8.\n\n1. A narrow piece, or one comparatively long; as, a strip of cloth; a strip of land. 2. (Mining)  A trough for washing ore. 3. (Gunnery)  The issuing of a projectile from a rifled gun without acquiring the spiral motion. Farrow.
strip-leaf |Tobacco which has been stripped of its stalks before packing.
stripe |1. A line, or long, narrow division of anything of a different color or structure from the ground; hence, any linear variation of color or structure; as, a stripe, or streak, of red on a green ground; a raised stripe. 2. (Weaving)  A pattern produced by arranging the warp threads in sets of alternating colors, or in sets presenting some other contrast of appearance. 3. A strip, or long, narrow piece attached to something of a different color; as, a red or blue stripe sewed upon a garment. 4. A stroke or blow made with a whip, rod, scourge, or the like, such as usually leaves a mark. Forty stripes he may give him, and not exceed. Deut. xxv. 3. 5. A long, narrow discoloration of the skin made by the blow of a lash, rod, or the like. Cruelty marked him with inglorious stripes. Thomson. 6. Color indicating a party or faction; hence, distinguishing characteristic; sign; likeness; sort; as, persons of the same political stripe. [Colloq. U.S.] 7. pl. (Mil.)  The chevron on the coat of a noncommissioned officer. Stars and Stripes. See under Star, n.\n\n1. To make stripes upon; to form with lines of different colors or textures; to variegate with stripes. 2. To strike; to lash. [R.]
striped |Having stripes of different colors; streaked. Striped bass. (Zoöl.) See under Bass. -- Striped maple (Bot.), a slender American tree (Acer Pennsylvanicum) with finely striped bark. Called also striped dogwood, and moosewood. -- Striped mullet. (Zoöl.) See under Mullet, 2. -- Striped snake (Zoöl.), the garter snake. -- Striped squirrel (Zoöl.), the chipmunk.
stripling |A youth in the state of adolescence, or just passing from boyhood to manhood; a lad. Inquire thou whose son the stripling is. 1 Sam. xvii. 56.
stripper |One who, or that which, strips; specifically, a machine for stripping cards.
strippet |A small stream. [Obs.] \"A little brook or strippet.\" Holinshed.
stripping |1. The act of one who strips. The mutual bows and courtesies . . . are remants of the original prostrations and strippings of the captive. H. Spencer. Never were cows that required such stripping. Mrs. Gaskell. 2. pl.  The last milk drawn from a cow at a milking.
strisores |A division of passerine birds including the humming birds, swifts, and goatsuckers. It is now generally considered an artificial group.
strive |1. To make efforts; to use exertions; to endeavor with earnestness; to labor hard. Was for this his ambition strove To equal Cæsar first, and after, Jove Cowley. 2. To struggle in opposition; to be in contention or dispute; to contend; to contest; -- followed by against or with before the person or thing opposed; as, strive against temptation; strive for the truth. Chaucer. My Spirit shall not always strive with man. Gen. vi. 3. Why dost thou strive against him Job xxxiii. 13. Now private pity strove with public hate, Reason with rage, and eloquence with fate. Denham. 3. To vie; to compete; to be a rival. Chaucer. [Not] that sweet grove Of Daphne, by Orontes and the inspired Castalian spring, might with this paradise Of Eden strive. Milton. Syn. -- To contend; vie; struggle; endeavor; aim.\n\n1. An effort; a striving. [R.] Chapman. 2. Strife; contention. [Obs.] Wyclif (luke xxi. 9).
strived |Striven. Yea, so have I strived to preach the gospel. Rom. xv. 20.
striven |p. p. of Strive.
striver |One who strives.
striving |from Strive. -- Striv\"ing*ly, adv.
strix |One of the flutings of a column.
stroam |1. To wander about idly and vacantly. [Obs.] 2. To take long strides in walking. [Prov. Eng.]
strobila |(a) A form of the larva of certain Discophora in a state of development succeeding the scyphistoma. The body of the strobila becomes elongated, and subdivides transversely into a series of lobate segments which eventually become ephyræ, or young medusæ. (b) A mature tapeworm.
strobilaceous |(a) Of or pertaining to a strobile or cone. (b) Producing strobiles.
strobilation |The act or phenomenon of spontaneously dividing transversely, as do certain species of annelids and helminths; transverse fission. See Illust. under Syllidian.
strobile |1. (Bot.)  A scaly multiple fruit resulting from the ripening of an ament in certain plants, as the hop or pine; a cone. See Cone, n., 3. 2. (Biol.)  An individual asexually producing sexual individuals differing from itself also in other respects, as the tapeworm, -- one of the forms that occur in metagenesis. 3. (Zoöl.)  Same as Strobila.
strobiliform |Shaped like a strobile.
strobiline |Of or pertaining to a strobile; strobilaceous; strobiliform; as, strobiline fruits.
stroboscope |1. An instrument for studying or observing the successive phases of a periodic or varying motion by means of light which is periodically interrupted. 2. An optical toy similar to the phenakistoscope. See Phenakistoscope.
strockle |A shovel with a turned-up edge, for frit, sand, etc. [Written also strocal, strocle, strokal.]
strode |See Strude. [Obs.]\n\nimp. of Stride.
stroke |Struck.\n\n1. The act of striking; a blow; a hit; a knock; esp., a violent or hostile attack made with the arm or hand, or with an instrument or weapon. His hand fetcheth a stroke with the ax to cut down the tree. Deut. xix. 5. A fool's lips enter into contention and his mouth calleth for strokes. Prov. xviii. 6. He entered and won the whole kingdom of Naples without striking a stroke. Bacon. 2. The result of effect of a striking; injury or affliction; soreness. In the day that Lord bindeth up the breach of his people, and healeth the stroke of their wound. Isa. xxx. 26. 3. The striking of the clock to tell the hour. Well, but what's o'clock - Upon the stroke of ten. -- Well, let is strike. Shak. 4. A gentle, caressing touch or movement upon something; a stroking. Dryden. 5. A mark or dash in writing or printing; a line; the touch of a pen or pencil; as, an up stroke; a firm stroke. O, lasting as those colors may they shine, Free as thy stroke, yet faultless as thy line. Pope. 6. Hence, by extension, an addition or amandment to a written composition; a touch; as, to give some finishing strokes to an essay. Addison. 7. A sudden attack of disease; especially, a fatal attack; a severe disaster; any affliction or calamity, especially a sudden one; as, a stroke of apoplexy; the stroke of death. At this one stroke the man looked dead in law. Harte. 8. A throb or beat, as of the heart. Tennyson. 9. One of a series of beats or movements against a resisting medium, by means of which movement through or upon it is accomplished; as, the stroke of a bird's wing in flying, or an oar in rowing, of a skater, swimmer, etc.; also: (Rowing) (a) The rate of succession of stroke; as, a quick stroke. (b) The oar nearest the stern of a boat, by which the other oars are guided; -- called also stroke oar. (c) The rower who pulls the stroke oar; the strokesman. 10. A powerful or sudden effort by which something is done, produced, or accomplished; also, something done or accomplished by such an effort; as, a stroke of genius; a stroke of business; a master stroke of policy. 11. (Mach.)  The movement, in either direction, of the piston plunger, piston rod, crosshead, etc., as of a steam engine or a pump, in which these parts have a reciprocating motion; as, the forward stroke of a piston; also, the entire distance passed through, as by a piston, in such a movement; as, the piston is at half stroke. Note: The respective strokes are distinguished as up and down strokes, outward and inward strokes, forward and back strokes, the forward stroke in stationary steam engines being toward the crosshead, but in locomotives toward the front of the vehicle. 12. Power; influence. [Obs.] \"Where money beareth [hath] all the stroke.\" Robynson (More's Utopia). He has a great stroke with the reader. Dryden. 13. Appetite. [Obs.] Swift. To keep stroke, to make strokes in unison. The oars where silver, Which to the tune of flutes kept stroke. Shak.\n\n1. To strike. [Obs.] Ye mote with the plat sword again Stroken him in the wound, and it will close. Chaucer. 2. To rib gently in one direction; especially, to pass the hand gently over by way of expressing kindness or tenderness; to caress; to soothe. He dried the falling drops, and, yet more kind, He stroked her cheeks. Dryden. 3. To make smooth by rubbing. Longfellow. 4. (Masonry)  To give a finely fluted surface to. 5. To row the stroke oar of; as, to stroke a boat.
stroker |One who strokes; also, one who pretends to cure by stroking. Cures worked by Greatrix the stroker. Bp. Warburton.
strokesman |The man who rows the aftermost oar, and whose stroke is to be followed by the rest. Totten.
stroking |1. The act of rubbing gently with the hand, or of smoothing; a stroke. I doubt not with one gentle stroking to wipe away ten thousand tears. Milton. 2. (Needlework)  The act of laying small gathers in cloth in regular order. 3. pl.  See Stripping, 2. Smollett.
stroll |To wander on foot; to ramble idly or leisurely; to rove. These mothers stroll to beg sustenance for their helpless infants. Swift. Syn. -- To rove; roam; range; stray.\n\nA wandering on foot; an idle and leisurely walk; a ramble.
stroller |One who strolls; a vagrant.
stroma |1. (Anat.) (a) The connective tissue or supporting framework of an organ; as, the stroma of the kidney. (b) The spongy, colorless framework of a red blood corpuscle or other cell. 2. (Bot.)  A layer or mass of cellular tissue, especially that part of the thallus of certain fungi which incloses the perithecia.
stromatic |Miscellaneous; composed of different kinds.
stromatology |The history of the formation of stratified rocks.
stromb |Any marine univalve mollusk of the genus Strombus and allied genera. See Conch, and Strombus.
strombite |A fossil shell of the genus Strombus.
stromboid |Of, pertaining to, or like, Strombus.
strombuliform |1. (Geol.)  Formed or shaped like a top. 2. (Bot.)  Coiled into the shape of a screw or a helix.
strombus |A genus of marine gastropods in which the shell has the outer lip dilated into a broad wing. It includes many large and handsome species commonly called conch shells, or conchs. See Conch.
stromeyerite |A steel-gray mineral of metallic luster. It is a sulphide of silver and copper.
strond |Strand; beach. [Obs.] Shak.
strong |1. Having active physical power, or great physical power to act; having a power of exerting great bodily force; vigorous. That our oxen may be strong to labor. Ps. cxliv. 14. Orses the strong to greater strength must yield. Dryden. 2. Having passive physical power; having ability to bear or endure; firm; hale; sound; robust; as, a strong constitution; strong health. 3. Solid; tough; not easily broken or injured; able to withstand violence; able to sustain attacks; not easily subdued or taken; as, a strong beam; a strong rock; a strong fortress or town. 4. Having great military or naval force; powerful; as, a strong army or fleet; a nation strong at sea. 5. Having great wealth, means, or resources; as, a strong house, or company of merchants. 6. Reaching a certain degree or limit in respect to strength or numbers; as, an army ten thousand strong. 7. Moving with rapidity or force; violent; forcible; impetuous; as, a strong current of water or wind; the wind was strong from the northeast; a strong tide. 8. Adapted to make a deep or effectual impression on the mind or imagination; striking or superior of the kind; powerful; forcible; cogent; as, a strong argument; strong reasons; strong evidence; a strong example; strong language. 9. Ardent; eager; zealous; earnestly engaged; as, a strong partisan; a strong Whig or Tory. Her mother, ever strong against that match. Shak. 10. Having virtues of great efficacy; or, having a particular quality in a great degree; as, a strong powder or tincture; a strong decoction; strong tea or coffee. 11. Full of spirit; containing a large proportion of alcohol; intoxicating; as, strong liquors. 12. Affecting any sense powerfully; as, strong light, colors, etc.; a strong flavor of onions; a strong scent. 13. Solid; nourishing; as, strong meat. Heb. v. 12. 14. Well established; firm; not easily overthrown or altered; as, a strong custom; a strong belief. 15. Violent; vehement; earnest; ardent. He had offered up prayers and supplications with strong crying and tears. Heb. v. 7. 16. Having great force, vigor, power, or the like, as the mind, intellect, or any faculty; as, a man of a strong mind, memory, judgment, or imagination. I was stronger in prophecy than in criticism. Dryden. 17. Vigorous; effective; forcible; powerful. Like her sweet voice is thy harmonious song, As high, as sweet, as easy, and as strong. E. Smith. 18. (Stock Exchange)  Tending to higher prices; rising; as, a strong market. 19. (Gram.) (a) Pertaining to, or designating, a verb which forms its preterit (imperfect) by a variation in the root vowel, and the past participle (usually) by the addition of -en (with or without a change of the root vowel); as in the verbs strive, strove, striven; break, broke, broken; drink, drank, drunk. Opposed to weak, or regular. See Weak. (b) Applied to forms in Anglo-Saxon, etc., which retain the old declensional endings. In the Teutonic languages the vowel stems have held the original endings most firmly, and are called strong; the stems in -n are called weak other constant stems conform, or are irregular. F. A. March. Strong conjugation (Gram.), the conjugation of a strong verb; -- called also old, or irregular, conjugation, and distinguished from the weak, or regular, conjugation. Note: Strong is often used in the formation of self-explaining compounds; as, strong-backed, strong-based, strong-bodied, strong- colored, strong-fisted, strong-handed, strong-ribbed, strong- smelling, strong-voiced, etc. Syn. -- Vigorous; powerful; stout; solid; firm; hardy; muscular; forcible; cogent; valid. See Robust.
strong-minded |Having a vigorous mind; esp., having or affecting masculine qualities of mind; -- said of women. -- Strong\"-mind`ed*ness, n.
strong-water |1. An acid. [Obs.] 2. Distilled or ardent spirits; intoxicating liquor.
stronghand |Violence; force; power. It was their meaning to take what they needed by stronghand. Sir W. Raleigh.
